this is just a sample data (lines 1 and 2 are skipped from SpringBatchConfig telcoItemReader method configuration)
id,mobile_prefix,telco,plan_type
79,-207384290.6,79,PLN_REINN8
80,-210162011.5,80,PREPAID
81,-212939732.4,81,PREPAID
82,-215717453.3,82,PREPAID
83,-218495174.2,83,PREPAID
84,-221272895.1,84,PREPAID
85,-224050616,85,PLN_REINN7
86,-226828336.9,86,PREPAID
87,-229606057.8,87,PREPAID
88,-232383778.7,88,PREPAID
89,-235161499.6,89,PREPAID
90,-237939220.5,90,PLN_REINN8
91,-240716941.4,91,PREPAID
92,-243494662.3,92,PREPAID
93,-246272383.2,93,PREPAID
94,-249050104.1,94,PREPAID
95,-251827825,95,PLN_REINN9
96,-254605545.9,96,PREPAID
97,-257383266.8,97,PREPAID
98,-260160987.7,98,PREPAID
99,-262938708.6,99,PREPAID
100,-265716429.5,100,PREPAID
101,-268494150.4,101,PLN_REINN8
102,-271271871.3,102,PREPAID
103,-274049592.2,103,PREPAID
104,-276827313.1,104,PREPAID
105,-279605034,105,PREPAID
106,-282382754.9,106,PLN_REINN9
107,-285160475.8,107,PREPAID
108,-287938196.7,108,PREPAID
109,-290715917.6,109,PREPAID
110,-293493638.5,110,PREPAID
111,-296271359.4,111,PLN_REINN10
112,-299049080.3,112,PREPAID
113,-301826801.2,113,PREPAID
114,-304604522.1,114,PREPAID
115,-307382243,115,PREPAID
116,-310159963.9,116,PREPAID
117,-312937684.8,117,PLN_REINN9
118,-315715405.7,118,PREPAID
119,-318493126.6,119,PREPAID
120,-321270847.5,120,PREPAID
121,-324048568.4,121,PREPAID
122,-326826289.3,122,PLN_REINN10
123,-329604010.2,123,PREPAID
124,-332381731.1,124,PREPAID
125,-335159452,125,PREPAID
126,-337937172.9,126,PREPAID
127,-340714893.8,127,PLN_REINN11
128,-343492614.7,128,PREPAID
129,-346270335.6,129,PREPAID
130,-349048056.5,130,PREPAID
131,-351825777.4,131,PREPAID
132,-354603498.3,132,PREPAID
133,-357381219.2,133,PLN_REINN10
134,-360158940.1,134,PREPAID
135,-362936661,135,PREPAID
136,-365714381.9,136,PREPAID
137,-368492102.8,137,PREPAID
138,-371269823.7,138,PLN_REINN11
139,-374047544.6,139,PREPAID
140,-376825265.5,140,PREPAID
141,-379602986.4,141,PREPAID
142,-382380707.3,142,PREPAID
143,-385158428.2,143,PLN_REINN12
144,-387936149.1,144,PREPAID
145,-390713870,145,PREPAID
146,-393491590.9,146,PREPAID
147,-396269311.8,147,PREPAID
148,-399047032.7,148,PREPAID
149,-401824753.6,149,PLN_REINN11
150,-404602474.5,150,PREPAID
151,-407380195.4,151,PREPAID
152,-410157916.3,152,PREPAID
153,-412935637.2,153,PREPAID
154,-415713358.1,154,PLN_REINN12
155,-418491079,155,PREPAID
156,-421268799.9,156,PREPAID
157,-424046520.8,157,PREPAID
158,-426824241.7,158,PREPAID
159,-429601962.6,159,PLN_REINN13
160,-432379683.5,160,PREPAID
161,-435157404.4,161,PREPAID
162,-437935125.3,162,PREPAID
163,-440712846.2,163,PREPAID
164,-443490567.1,164,PREPAID
165,-446268288,165,PLN_REINN12
166,-449046008.9,166,PREPAID
167,-451823729.8,167,PREPAID
168,-454601450.7,168,PREPAID
169,-457379171.6,169,PREPAID
170,-460156892.5,170,PLN_REINN13
171,-462934613.4,171,PREPAID
172,-465712334.3,172,PREPAID
173,-468490055.2,173,PREPAID
174,-471267776.1,174,PREPAID
175,-474045497,175,PLN_REINN14
176,-476823217.9,176,PREPAID
177,-479600938.8,177,PREPAID
178,-482378659.7,178,PREPAID
179,-485156380.6,179,PREPAID
180,-487934101.5,180,PREPAID
181,-490711822.4,181,PLN_REINN13
182,-493489543.3,182,PREPAID
183,-496267264.2,183,PREPAID
184,-499044985.1,184,PREPAID
185,-501822706,185,PREPAID
186,-504600426.9,186,PLN_REINN14
187,-507378147.8,187,PREPAID
188,-510155868.7,188,PREPAID
189,-512933589.6,189,PREPAID
190,-515711310.5,190,PREPAID
191,-518489031.4,191,PLN_REINN15
192,-521266752.3,192,PREPAID
193,-524044473.2,193,PREPAID
194,-526822194.1,194,PREPAID
195,-529599915,195,PREPAID
196,-532377635.9,196,PREPAID
197,-535155356.8,197,PLN_REINN14
198,-537933077.7,198,PREPAID
199,-540710798.6,199,PREPAID
200,-543488519.5,200,PREPAID
201,-546266240.4,201,PREPAID
202,-549043961.3,202,PLN_REINN15
203,-551821682.2,203,PREPAID
204,-554599403.1,204,PREPAID
205,-557377124,205,PREPAID
206,-560154844.9,206,PREPAID
207,-562932565.8,207,PLN_REINN16
208,-565710286.7,208,PREPAID
209,-568488007.6,209,PREPAID
210,-571265728.5,210,PREPAID
211,-574043449.4,211,PREPAID
212,-576821170.3,212,PREPAID
213,-579598891.2,213,PLN_REINN15
214,-582376612.1,214,PREPAID
215,-585154333,215,PREPAID
216,-587932053.9,216,PREPAID
217,-590709774.8,217,PREPAID
218,-593487495.7,218,PLN_REINN16
219,-596265216.6,219,PREPAID
220,-599042937.5,220,PREPAID
221,-601820658.4,221,PREPAID
222,-604598379.3,222,PREPAID
223,-607376100.2,223,PLN_REINN17
224,-610153821.1,224,PREPAID
225,-612931542,225,PREPAID
226,-615709262.9,226,PREPAID
227,-618486983.8,227,PREPAID
228,-621264704.7,228,PREPAID
229,-624042425.6,229,PLN_REINN16
230,-626820146.5,230,PREPAID
231,-629597867.4,231,PREPAID
232,-632375588.3,232,PREPAID
233,-635153309.2,233,PREPAID
234,-637931030.1,234,PLN_REINN17
235,-640708751,235,PREPAID
236,-643486471.9,236,PREPAID
237,-646264192.8,237,PREPAID
238,-649041913.7,238,PREPAID
239,-651819634.6,239,PLN_REINN18
240,-654597355.5,240,PREPAID
241,-657375076.4,241,PREPAID
242,-660152797.3,242,PREPAID
243,-662930518.2,243,PREPAID
244,-665708239.1,244,PREPAID
245,-668485960,245,PLN_REINN17
246,-671263680.9,246,PREPAID
247,-674041401.8,247,PREPAID
248,-676819122.7,248,PREPAID
249,-679596843.6,249,PREPAID
250,-682374564.5,250,PLN_REINN18
251,-685152285.4,251,PREPAID
252,-687930006.3,252,PREPAID
253,-690707727.2,253,PREPAID
254,-693485448.1,254,PREPAID
255,-696263169,255,PLN_REINN19
256,-699040889.9,256,PREPAID
257,-701818610.8,257,PREPAID
258,-704596331.7,258,PREPAID
259,-707374052.6,259,PREPAID
260,-710151773.5,260,PREPAID
261,-712929494.4,261,PLN_REINN18
262,-715707215.3,262,PREPAID
263,-718484936.2,263,PREPAID
264,-721262657.1,264,PREPAID
265,-724040378,265,PREPAID
266,-726818098.9,266,PLN_REINN19
267,-729595819.8,267,PREPAID
268,-732373540.7,268,PREPAID
269,-735151261.6,269,PREPAID
270,-737928982.5,270,PREPAID
271,-740706703.4,271,PLN_REINN20
272,-743484424.3,272,PREPAID
273,-746262145.2,273,PREPAID
274,-749039866.1,274,PREPAID
275,-751817587,275,PREPAID
276,-754595307.9,276,PREPAID
277,-757373028.8,277,PLN_REINN19
278,-760150749.7,278,PREPAID
279,-762928470.6,279,PREPAID
280,-765706191.5,280,PREPAID
281,-768483912.4,281,PREPAID
282,-771261633.3,282,PLN_REINN20
283,-774039354.2,283,PREPAID
284,-776817075.1,284,PREPAID
285,-779594796,285,PREPAID
286,-782372516.9,286,PREPAID
287,-785150237.8,287,PLN_REINN21
288,-787927958.7,288,PREPAID
289,-790705679.6,289,PREPAID
290,-793483400.5,290,PREPAID
291,-796261121.4,291,PREPAID
292,-799038842.3,292,PREPAID
293,-801816563.2,293,PLN_REINN20
294,-804594284.1,294,PREPAID
295,-807372005,295,PREPAID
296,-810149725.9,296,PREPAID
297,-812927446.8,297,PREPAID
298,-815705167.7,298,PLN_REINN21
299,-818482888.6,299,PREPAID
300,-821260609.5,300,PREPAID
301,-824038330.4,301,PREPAID
302,-826816051.3,302,PREPAID
303,-829593772.2,303,PLN_REINN22
304,-832371493.1,304,PREPAID
305,-835149214,305,PREPAID
306,-837926934.9,306,PREPAID
307,-840704655.8,307,PREPAID
308,-843482376.7,308,PREPAID
309,-846260097.6,309,PLN_REINN21
310,-849037818.5,310,PREPAID
311,-851815539.4,311,PREPAID
312,-854593260.3,312,PREPAID
313,-857370981.2,313,PREPAID
314,-860148702.1,314,PLN_REINN22
315,-862926423,315,PREPAID
316,-865704143.9,316,PREPAID
317,-868481864.8,317,PREPAID
318,-871259585.7,318,PREPAID
319,-874037306.6,319,PLN_REINN23
320,-876815027.5,320,PREPAID
321,-879592748.4,321,PREPAID
322,-882370469.3,322,PREPAID
323,-885148190.2,323,PREPAID
324,-887925911.1,324,PREPAID
325,-890703632,325,PLN_REINN22
326,-893481352.9,326,PREPAID
327,-896259073.8,327,PREPAID
328,-899036794.7,328,PREPAID
329,-901814515.6,329,PREPAID
330,-904592236.5,330,PLN_REINN23
331,-907369957.4,331,PREPAID
332,-910147678.3,332,PREPAID
333,-912925399.2,333,PREPAID
334,-915703120.1,334,PREPAID
335,-918480841,335,PLN_REINN24
336,-921258561.9,336,PREPAID
337,-924036282.8,337,PREPAID
338,-926814003.7,338,PREPAID
339,-929591724.6,339,PREPAID
340,-932369445.5,340,PREPAID
341,-935147166.4,341,PLN_REINN23
342,-937924887.3,342,PREPAID
343,-940702608.2,343,PREPAID
344,-943480329.1,344,PREPAID
345,-946258050,345,PREPAID
346,-949035770.9,346,PLN_REINN24
347,-951813491.8,347,PREPAID
348,-954591212.7,348,PREPAID
349,-957368933.6,349,PREPAID
350,-960146654.5,350,PREPAID
351,-962924375.4,351,PLN_REINN25
352,-965702096.3,352,PREPAID
353,-968479817.2,353,PREPAID
354,-971257538.1,354,PREPAID
355,-974035259,355,PREPAID
356,-976812979.9,356,PREPAID
357,-979590700.8,357,PLN_REINN24
358,-982368421.7,358,PREPAID
359,-985146142.6,359,PREPAID
360,-987923863.5,360,PREPAID
361,-990701584.4,361,PREPAID
362,-993479305.3,362,PLN_REINN25
363,-996257026.2,363,PREPAID
364,-999034747.1,364,PREPAID
365,-1001812468,365,PREPAID
366,-1004590189,366,PREPAID
367,-1007367910,367,PLN_REINN26
368,-1010145631,368,PREPAID
369,-1012923352,369,PREPAID
370,-1015701073,370,PREPAID
371,-1018478793,371,PREPAID
372,-1021256514,372,PREPAID
373,-1024034235,373,PLN_REINN25
374,-1026811956,374,PREPAID
375,-1029589677,375,PREPAID
376,-1032367398,376,PREPAID
377,-1035145119,377,PREPAID
378,-1037922840,378,PLN_REINN26
379,-1040700561,379,PREPAID
380,-1043478282,380,PREPAID
381,-1046256002,381,PREPAID
382,-1049033723,382,PREPAID
383,-1051811444,383,PLN_REINN27
384,-1054589165,384,PREPAID
385,-1057366886,385,PREPAID
386,-1060144607,386,PREPAID
387,-1062922328,387,PREPAID
388,-1065700049,388,PREPAID
389,-1068477770,389,PLN_REINN26
390,-1071255491,390,PREPAID
391,-1074033211,391,PREPAID
392,-1076810932,392,PREPAID
393,-1079588653,393,PREPAID
394,-1082366374,394,PLN_REINN27
395,-1085144095,395,PREPAID
396,-1087921816,396,PREPAID
397,-1090699537,397,PREPAID
398,-1093477258,398,PREPAID
399,-1096254979,399,PLN_REINN28
400,-1099032700,400,PREPAID
401,-1101810420,401,PREPAID
402,-1104588141,402,PREPAID
403,-1107365862,403,PREPAID
404,-1110143583,404,PREPAID
405,-1112921304,405,PLN_REINN27
406,-1115699025,406,PREPAID
407,-1118476746,407,PREPAID
408,-1121254467,408,PREPAID
409,-1124032188,409,PREPAID
410,-1126809909,410,PLN_REINN28
411,-1129587629,411,PREPAID
412,-1132365350,412,PREPAID
413,-1135143071,413,PREPAID
414,-1137920792,414,PREPAID
415,-1140698513,415,PLN_REINN29
416,-1143476234,416,PREPAID
417,-1146253955,417,PREPAID
418,-1149031676,418,PREPAID
419,-1151809397,419,PREPAID
420,-1154587118,420,PREPAID
421,-1157364838,421,PLN_REINN28
422,-1160142559,422,PREPAID
423,-1162920280,423,PREPAID
424,-1165698001,424,PREPAID
425,-1168475722,425,PREPAID
426,-1171253443,426,PLN_REINN29
427,-1174031164,427,PREPAID
428,-1176808885,428,PREPAID
429,-1179586606,429,PREPAID
430,-1182364327,430,PREPAID
431,-1185142047,431,PLN_REINN30
432,-1187919768,432,PREPAID
433,-1190697489,433,PREPAID
434,-1193475210,434,PREPAID
435,-1196252931,435,PREPAID
436,-1199030652,436,PREPAID
437,-1201808373,437,PLN_REINN29
438,-1204586094,438,PREPAID
439,-1207363815,439,PREPAID
440,-1210141536,440,PREPAID
441,-1212919256,441,PREPAID
442,-1215696977,442,PLN_REINN30
443,-1218474698,443,PREPAID
444,-1221252419,444,PREPAID
445,-1224030140,445,PREPAID
446,-1226807861,446,PREPAID
447,-1229585582,447,PLN_REINN31
448,-1232363303,448,PREPAID
449,-1235141024,449,PREPAID
450,-1237918745,450,PREPAID
451,-1240696465,451,PREPAID
452,-1243474186,452,PREPAID
453,-1246251907,453,PLN_REINN30
454,-1249029628,454,PREPAID
455,-1251807349,455,PREPAID
456,-1254585070,456,PREPAID
457,-1257362791,457,PREPAID
458,-1260140512,458,PLN_REINN31
459,-1262918233,459,PREPAID
460,-1265695954,460,PREPAID
461,-1268473674,461,PREPAID
462,-1271251395,462,PREPAID
463,-1274029116,463,PLN_REINN32
464,-1276806837,464,PREPAID
465,-1279584558,465,PREPAID
466,-1282362279,466,PREPAID
467,-1285140000,467,PREPAID
468,-1287917721,468,PREPAID
469,-1290695442,469,PLN_REINN31
470,-1293473163,470,PREPAID
471,-1296250883,471,PREPAID
472,-1299028604,472,PREPAID
473,-1301806325,473,PREPAID
474,-1304584046,474,PLN_REINN32
475,-1307361767,475,PREPAID
476,-1310139488,476,PREPAID
477,-1312917209,477,PREPAID
478,-1315694930,478,PREPAID
479,-1318472651,479,PLN_REINN33
480,-1321250372,480,PREPAID
481,-1324028092,481,PREPAID
482,-1326805813,482,PREPAID
483,-1329583534,483,PREPAID
484,-1332361255,484,PREPAID
485,-1335138976,485,PLN_REINN32
486,-1337916697,486,PREPAID
487,-1340694418,487,PREPAID
488,-1343472139,488,PREPAID
489,-1346249860,489,PREPAID
490,-1349027581,490,PLN_REINN33
491,-1351805301,491,PREPAID
492,-1354583022,492,PREPAID
493,-1357360743,493,PREPAID
494,-1360138464,494,PREPAID
495,-1362916185,495,PLN_REINN34
496,-1365693906,496,PREPAID
497,-1368471627,497,PREPAID
498,-1371249348,498,PREPAID
499,-1374027069,499,PREPAID
500,-1376804790,500,PREPAID
501,-1379582510,501,PLN_REINN33
502,-1382360231,502,PREPAID
503,-1385137952,503,PREPAID
504,-1387915673,504,PREPAID
505,-1390693394,505,PREPAID
506,-1393471115,506,PLN_REINN34
507,-1396248836,507,PREPAID
508,-1399026557,508,PREPAID
509,-1401804278,509,PREPAID
510,-1404581999,510,PREPAID
511,-1407359719,511,PLN_REINN35
512,-1410137440,512,PREPAID
513,-1412915161,513,PREPAID
514,-1415692882,514,PREPAID
515,-1418470603,515,PREPAID
516,-1421248324,516,PREPAID
517,-1424026045,517,PLN_REINN34
518,-1426803766,518,PREPAID
519,-1429581487,519,PREPAID
520,-1432359208,520,PREPAID
521,-1435136928,521,PREPAID
522,-1437914649,522,PLN_REINN35
523,-1440692370,523,PREPAID
524,-1443470091,524,PREPAID
525,-1446247812,525,PREPAID
526,-1449025533,526,PREPAID
527,-1451803254,527,PLN_REINN36
528,-1454580975,528,PREPAID
529,-1457358696,529,PREPAID
530,-1460136417,530,PREPAID
531,-1462914137,531,PREPAID
532,-1465691858,532,PREPAID
533,-1468469579,533,PLN_REINN35
534,-1471247300,534,PREPAID
535,-1474025021,535,PREPAID
536,-1476802742,536,PREPAID
537,-1479580463,537,PREPAID
538,-1482358184,538,PLN_REINN36
539,-1485135905,539,PREPAID
540,-1487913626,540,PREPAID
541,-1490691346,541,PREPAID
542,-1493469067,542,PREPAID
543,-1496246788,543,PLN_REINN37
544,-1499024509,544,PREPAID
545,-1501802230,545,PREPAID
546,-1504579951,546,PREPAID
547,-1507357672,547,PREPAID
548,-1510135393,548,PREPAID
549,-1512913114,549,PLN_REINN36
550,-1515690835,550,PREPAID
551,-1518468555,551,PREPAID
552,-1521246276,552,PREPAID
553,-1524023997,553,PREPAID
554,-1526801718,554,PLN_REINN37
555,-1529579439,555,PREPAID
556,-1532357160,556,PREPAID
557,-1535134881,557,PREPAID
558,-1537912602,558,PREPAID
559,-1540690323,559,PLN_REINN38
560,-1543468044,560,PREPAID
561,-1546245764,561,PREPAID
562,-1549023485,562,PREPAID
563,-1551801206,563,PREPAID
564,-1554578927,564,PREPAID
565,-1557356648,565,PLN_REINN37
566,-1560134369,566,PREPAID
567,-1562912090,567,PREPAID
568,-1565689811,568,PREPAID
569,-1568467532,569,PREPAID
570,-1571245253,570,PLN_REINN38
571,-1574022973,571,PREPAID
572,-1576800694,572,PREPAID
573,-1579578415,573,PREPAID
574,-1582356136,574,PREPAID
575,-1585133857,575,PLN_REINN39
576,-1587911578,576,PREPAID
577,-1590689299,577,PREPAID
578,-1593467020,578,PREPAID
579,-1596244741,579,PREPAID
580,-1599022462,580,PREPAID
581,-1601800182,581,PLN_REINN38
582,-1604577903,582,PREPAID
583,-1607355624,583,PREPAID
584,-1610133345,584,PREPAID
585,-1612911066,585,PREPAID
586,-1615688787,586,PLN_REINN39
587,-1618466508,587,PREPAID
588,-1621244229,588,PREPAID
589,-1624021950,589,PREPAID
590,-1626799671,590,PREPAID
591,-1629577391,591,PLN_REINN40
592,-1632355112,592,PREPAID
593,-1635132833,593,PREPAID
594,-1637910554,594,PREPAID
595,-1640688275,595,PREPAID
596,-1643465996,596,PREPAID
597,-1646243717,597,PLN_REINN39
598,-1649021438,598,PREPAID
599,-1651799159,599,PREPAID
600,-1654576880,600,PREPAID
601,-1657354600,601,PREPAID
602,-1660132321,602,PLN_REINN40
603,-1662910042,603,PREPAID
604,-1665687763,604,PREPAID
605,-1668465484,605,PREPAID
606,-1671243205,606,PREPAID
607,-1674020926,607,PLN_REINN41
608,-1676798647,608,PREPAID
609,-1679576368,609,PREPAID
610,-1682354089,610,PREPAID
611,-1685131809,611,PREPAID
612,-1687909530,612,PREPAID
613,-1690687251,613,PLN_REINN40
614,-1693464972,614,PREPAID
615,-1696242693,615,PREPAID
616,-1699020414,616,PREPAID
617,-1701798135,617,PREPAID
618,-1704575856,618,PLN_REINN41
619,-1707353577,619,PREPAID
620,-1710131298,620,PREPAID
621,-1712909018,621,PREPAID
622,-1715686739,622,PREPAID
623,-1718464460,623,PLN_REINN42
624,-1721242181,624,PREPAID
625,-1724019902,625,PREPAID
626,-1726797623,626,PREPAID
627,-1729575344,627,PREPAID
628,-1732353065,628,PREPAID
629,-1735130786,629,PLN_REINN41
630,-1737908507,630,PREPAID
631,-1740686227,631,PREPAID
632,-1743463948,632,PREPAID
633,-1746241669,633,PREPAID
634,-1749019390,634,PLN_REINN42
635,-1751797111,635,PREPAID
636,-1754574832,636,PREPAID
637,-1757352553,637,PREPAID
638,-1760130274,638,PREPAID
639,-1762907995,639,PLN_REINN43
640,-1765685716,640,PREPAID
641,-1768463436,641,PREPAID
642,-1771241157,642,PREPAID
643,-1774018878,643,PREPAID
644,-1776796599,644,PREPAID
645,-1779574320,645,PLN_REINN42
646,-1782352041,646,PREPAID
647,-1785129762,647,PREPAID
648,-1787907483,648,PREPAID
649,-1790685204,649,PREPAID
650,-1793462925,650,PLN_REINN43
651,-1796240645,651,PREPAID
652,-1799018366,652,PREPAID
653,-1801796087,653,PREPAID
654,-1804573808,654,PREPAID
655,-1807351529,655,PLN_REINN44
656,-1810129250,656,PREPAID
657,-1812906971,657,PREPAID
658,-1815684692,658,PREPAID
659,-1818462413,659,PREPAID
660,-1821240134,660,PREPAID
661,-1824017854,661,PLN_REINN43
662,-1826795575,662,PREPAID
663,-1829573296,663,PREPAID
664,-1832351017,664,PREPAID
665,-1835128738,665,PREPAID
666,-1837906459,666,PLN_REINN44
667,-1840684180,667,PREPAID
668,-1843461901,668,PREPAID
669,-1846239622,669,PREPAID
670,-1849017343,670,PREPAID
671,-1851795063,671,PLN_REINN45
672,-1854572784,672,PREPAID
673,-1857350505,673,PREPAID
674,-1860128226,674,PREPAID
675,-1862905947,675,PREPAID
676,-1865683668,676,PREPAID
677,-1868461389,677,PLN_REINN44
678,-1871239110,678,PREPAID
679,-1874016831,679,PREPAID
680,-1876794552,680,PREPAID
681,-1879572272,681,PREPAID
682,-1882349993,682,PLN_REINN45
683,-1885127714,683,PREPAID
684,-1887905435,684,PREPAID
685,-1890683156,685,PREPAID
686,-1893460877,686,PREPAID
687,-1896238598,687,PLN_REINN46
688,-1899016319,688,PREPAID
689,-1901794040,689,PREPAID
690,-1904571761,690,PREPAID
691,-1907349481,691,PREPAID
692,-1910127202,692,PREPAID
693,-1912904923,693,PLN_REINN45
694,-1915682644,694,PREPAID
695,-1918460365,695,PREPAID
696,-1921238086,696,PREPAID
697,-1924015807,697,PREPAID
698,-1926793528,698,PLN_REINN46
699,-1929571249,699,PREPAID
700,-1932348970,700,PREPAID
701,-1935126690,701,PREPAID
702,-1937904411,702,PREPAID
703,-1940682132,703,PLN_REINN47
704,-1943459853,704,PREPAID
705,-1946237574,705,PREPAID
706,-1949015295,706,PREPAID
707,-1951793016,707,PREPAID
708,-1954570737,708,PREPAID
709,-1957348458,709,PLN_REINN46
710,-1960126179,710,PREPAID
711,-1962903899,711,PREPAID
712,-1965681620,712,PREPAID
713,-1968459341,713,PREPAID
714,-1971237062,714,PLN_REINN47
715,-1974014783,715,PREPAID
716,-1976792504,716,PREPAID
717,-1979570225,717,PREPAID
718,-1982347946,718,PREPAID
719,-1985125667,719,PLN_REINN48
720,-1987903388,720,PREPAID
721,-1990681108,721,PREPAID
722,-1993458829,722,PREPAID
723,-1996236550,723,PREPAID
724,-1999014271,724,PREPAID
725,-2001791992,725,PLN_REINN47
726,-2004569713,726,PREPAID
727,-2007347434,727,PREPAID
728,-2010125155,728,PREPAID
729,-2012902876,729,PREPAID
730,-2015680597,730,PLN_REINN48
731,-2018458317,731,PREPAID
732,-2021236038,732,PREPAID
733,-2024013759,733,PREPAID
734,-2026791480,734,PREPAID
735,-2029569201,735,PLN_REINN49
736,-2032346922,736,PREPAID
737,-2035124643,737,PREPAID
738,-2037902364,738,PREPAID
739,-2040680085,739,PREPAID
740,-2043457806,740,PREPAID
741,-2046235526,741,PLN_REINN48
742,-2049013247,742,PREPAID
743,-2051790968,743,PREPAID
744,-2054568689,744,PREPAID
745,-2057346410,745,PREPAID
746,-2060124131,746,PLN_REINN49
747,-2062901852,747,PREPAID
748,-2065679573,748,PREPAID
749,-2068457294,749,PREPAID
750,-2071235015,750,PREPAID
751,-2074012735,751,PLN_REINN50
752,-2076790456,752,PREPAID
753,-2079568177,753,PREPAID
754,-2082345898,754,PREPAID
755,-2085123619,755,PREPAID
756,-2087901340,756,PREPAID
757,-2090679061,757,PLN_REINN49
758,-2093456782,758,PREPAID
759,-2096234503,759,PREPAID
760,-2099012224,760,PREPAID
761,-2101789944,761,PREPAID
762,-2104567665,762,PLN_REINN50
763,-2107345386,763,PREPAID
764,-2110123107,764,PREPAID
765,-2112900828,765,PREPAID
766,-2115678549,766,PREPAID
767,-2118456270,767,PLN_REINN51
768,-2121233991,768,PREPAID
769,-2124011712,769,PREPAID
770,-2126789433,770,PREPAID
771,-2129567153,771,PREPAID
772,-2132344874,772,PREPAID
773,-2135122595,773,PLN_REINN50
774,-2137900316,774,PREPAID
775,-2140678037,775,PREPAID
776,-2143455758,776,PREPAID
777,-2146233479,777,PREPAID
778,-2149011200,778,PLN_REINN51
779,-2151788921,779,PREPAID
780,-2154566642,780,PREPAID
781,-2157344362,781,PREPAID
782,-2160122083,782,PREPAID
783,-2162899804,783,PLN_REINN52
784,-2165677525,784,PREPAID
785,-2168455246,785,PREPAID
786,-2171232967,786,PREPAID
787,-2174010688,787,PREPAID
788,-2176788409,788,PREPAID
789,-2179566130,789,PLN_REINN51
790,-2182343851,790,PREPAID
791,-2185121571,791,PREPAID
792,-2187899292,792,PREPAID
793,-2190677013,793,PREPAID
794,-2193454734,794,PLN_REINN52
795,-2196232455,795,PREPAID
796,-2199010176,796,PREPAID
797,-2201787897,797,PREPAID
798,-2204565618,798,PREPAID
799,-2207343339,799,PLN_REINN53
800,-2210121060,800,PREPAID
801,-2212898780,801,PREPAID
802,-2215676501,802,PREPAID
803,-2218454222,803,PREPAID
804,-2221231943,804,PREPAID
805,-2224009664,805,PLN_REINN52
806,-2226787385,806,PREPAID
807,-2229565106,807,PREPAID
808,-2232342827,808,PREPAID
809,-2235120548,809,PREPAID
810,-2237898269,810,PLN_REINN53
811,-2240675989,811,PREPAID
812,-2243453710,812,PREPAID
813,-2246231431,813,PREPAID
814,-2249009152,814,PREPAID
815,-2251786873,815,PLN_REINN54
816,-2254564594,816,PREPAID
817,-2257342315,817,PREPAID
818,-2260120036,818,PREPAID
819,-2262897757,819,PREPAID
820,-2265675478,820,PREPAID
821,-2268453198,821,PLN_REINN53
